Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S,Embarked_3
0,3,1,-0.46589622469146486,1,0,-0.7781429959474816,False,True,False
1,3,0,-0.16866903591785826,0,0,-0.7280347262722512,False,True,False
1,1,0,0.5000921388227566,1,0,2.6255076182885326,False,True,False
0,3,1,0.5000921388227566,0,0,-0.7187554170731345,False,True,False
0,3,1,,0,0,-0.6884454815051397,True,False,False
0,1,1,1.911921285497388,0,0,2.5336424572172773,False,True,False
0,3,1,-1.952032168559498,3,1,0.24814860147482803,False,True,False
1,3,0,-0.0943622387244566,0,2,-0.48986826464404176,False,True,False
1,2,0,-1.0603506022386782,1,0,0.9159470790221418,False,False,False
1,3,0,-1.8034185741726945,1,1,-0.0766272204942573,False,True,False
1,1,0,2.2091484742709944,0,0,0.6545823443961406,False,True,False
0,3,1,-0.6145098190782682,0,0,-0.7187554170731345,False,True,False
0,3,1,0.7973193275963633,1,5,1.0053402321227527,False,True,False
0,3,0,-1.0603506022386782,0,0,-0.7332905270026311,False,True,False
1,2,0,1.9862280826907897,0,0,-0.1285913520093109,False,True,False
0,3,1,-1.952032168559498,4,1,0.8457361138979451,True,False,False
1,2,1,,0,0,-0.3512947727881123,False,True,False
0,3,0,0.20286495004915,1,0,0.01987759517655668,False,True,False
1,3,0,,0,0,-0.7799988577873049,False,False,False
0,2,1,0.5000921388227566,0,0,0.613753383920027,False,True,False
1,2,1,0.42578534162935494,0,0,-0.3512947727881123,False,True,False
1,3,0,-0.9860438050452764,0,0,-0.7202994941238676,True,False,False
1,1,1,-0.02005544153105495,0,0,1.318980883052898,False,True,False
0,3,0,-1.506191385399088,3,1,0.24814860147482803,False,True,False
1,3,0,0.7230125304029615,1,5,1.0136916104019578,False,True,False
0,3,1,,0,0,-0.7799988577873049,False,False,False
1,3,0,,0,0,-0.7314346651628075,True,False,False
0,3,1,,0,0,-0.7302023729011649,False,True,False
0,1,1,0.8716261247897649,0,0,0.7414960660787475,False,False,False
1,3,0,,0,0,-0.7410257591510147,True,False,False
0,1,1,1.0202397191765682,1,0,2.543849697336306,False,True,False
1,3,1,,0,0,-0.7796870729982147,False,False,False
0,3,1,-0.5402030218848665,0,0,-0.7187554170731345,False,True,False
0,3,0,-0.7631234134650715,2,0,0.01987759517655668,False,True,False
1,3,0,-1.0603506022386782,1,0,-0.48182124770656776,False,False,False
0,3,0,0.8716261247897649,1,0,-0.6129712922032039,False,True,False
0,2,0,-0.0943622387244566,1,0,0.24258101595535805,False,True,False
0,3,1,,0,0,-0.7302023729011649,False,False,False
1,2,0,-1.8777253713660962,1,2,1.770267094919061,False,False,False
1,3,0,-0.6888166162716698,0,0,-0.7314346651628075,True,False,False
0,3,1,,0,0,-0.7187554170731345,False,True,False
0,3,1,,1,0,-0.1657085888057778,True,False,False
1,3,0,,0,0,-0.7410257591510147,True,False,False
0,3,1,,2,0,0.2930010704196788,False,False,False
0,3,0,-0.7631234134650715,1,0,0.005030700457969974,False,True,False
0,3,1,-1.5804981825924895,4,1,1.6298377412233083,False,True,False
0,3,1,-0.5402030218848665,0,0,-0.737314035471368,False,True,False
1,2,0,0.0542513556623467,1,0,0.613753383920027,False,True,False
1,1,1,,0,0,1.318980883052898,False,True,False
1,2,0,-0.5402030218848665,0,0,-0.5368809567704468,False,True,False
0,3,1,0.017097957065645875,0,0,-0.7796870729982147,False,False,False
1,2,0,-1.729111776979293,1,2,0.7436637127076612,False,True,False
0,3,1,-1.283270993818883,5,2,2.165253882012343,False,True,False
0,3,1,-0.46589622469146486,0,0,-0.7796870729982147,False,False,False
0,3,1,-1.8034185741726945,3,2,0.7547988837466011,False,True,False
0,1,1,,0,0,0.7414960660787475,False,False,False
1,3,1,,1,1,-0.18457899199310163,False,False,False
1,2,0,0.0542513556623467,0,0,-0.5368809567704468,False,True,False
0,3,1,-0.6888166162716698,0,0,-0.7107158235830198,False,True,False
1,3,0,-0.8374302106584731,4,2,-0.7280347262722512,False,True,False
0,3,1,-0.16866903591785826,2,0,-0.6732868019974626,False,True,False
0,2,1,0.27717174724255167,0,0,-0.5368809567704468,False,True,False
0,3,0,-0.9117370078518747,5,2,2.165253882012343,False,True,False
0,3,1,-0.16866903591785826,1,0,-0.24334300128926795,False,False,False
1,3,1,0.27717174724255167,0,0,2.8775930437154176,False,True,False
0,3,1,-0.2429758331112599,0,0,-0.748449206510308,False,True,False
0,3,1,,0,0,-0.7302023729011649,False,True,False
0,3,1,,0,0,-0.7187554170731345,False,True,False
1,2,1,-2.038971121275778,0,2,0.8364568046988283,False,True,False
1,3,0,0.12855815285574834,0,0,-0.39026787142440256,False,True,False
0,3,1,-0.46589622469146486,0,0,-0.6482326671598474,False,True,False
1,3,1,0.0542513556623467,0,0,-0.6111154303633806,False,True,False
1,3,0,,0,0,-0.7382419663912797,True,False,False
0,1,1,-0.02005544153105495,0,0,2.18010077673093,False,True,False
1,2,0,-0.8374302106584731,0,0,-0.5368809567704468,False,True,False
1,3,0,0.3514785444359533,3,0,-0.139726523048251,False,True,False
0,3,1,-0.9117370078518747,1,3,1.2354671002608475,False,True,False
0,3,1,,0,0,-0.7187554170731345,False,True,False
0,3,1,-0.31728263030466153,0,0,-0.7187554170731345,False,True,False
0,3,1,0.0542513556623467,0,0,-0.7187554170731345,False,True,False
0,3,1,-0.6145098190782682,0,0,-0.7332905270026311,False,True,False
0,1,1,1.3174669079501748,1,0,3.224950992551473,False,True,False
0,3,1,-0.16866903591785826,1,2,0.21103136467836114,False,True,False
0,3,1,2.2834552714643963,0,0,-0.7781429959474816,False,True,False
0,3,1,,0,0,-0.7187554170731345,False,True,False
1,1,1,-0.3915894274980632,0,1,3.387027118746926,False,False,False
1,2,0,0.42578534162935494,0,1,0.39104996314122564,False,True,False
0,2,1,0.42578534162935494,1,0,0.613753383920027,False,True,False
0,3,0,-0.02005544153105495,0,0,-0.7302023729011649,False,True,False
0,3,1,,0,0,-0.7302023729011649,False,True,False
0,3,1,0.3514785444359533,0,0,-0.673902948128284,False,True,False
0,3,1,0.6487057332095599,2,0,-0.7280347262722512,False,True,False
0,3,1,-0.02005544153105495,0,0,-0.7302023729011649,False,True,False
1,3,0,-0.5402030218848665,0,0,-0.748449206510308,False,True,False
1,3,1,,0,0,-0.7391698973111913,False,True,False
0,3,1,0.7230125304029615,0,0,-0.7302023729011649,False,True,False
1,3,0,,1,0,0.4764196077730994,True,False,False
0,1,1,1.3917737051435763,0,0,2.543849697336306,False,True,False
0,3,0,-1.0231972036419772,1,0,-0.24334300128926795,False,False,False
0,3,1,-0.46589622469146486,0,0,-0.7187554170731345,False,True,False
0,3,0,-0.6145098190782682,1,0,-0.5869892264456771,False,True,False
0,3,0,-0.8374302106584731,0,0,-0.24303863994753697,False,False,False
0,3,1,-0.5402030218848665,0,0,-0.7280347262722512,False,True,False
0,2,1,0.0542513556623467,1,0,0.24258101595535805,False,True,False
0,3,0,-1.952032168559498,4,2,1.0053402321227527,False,True,False
0,3,1,,0,0,-0.7187554170731345,False,True,False
0,2,1,0.3143251458392525,1,0,0.9159470790221418,False,False,False
1,2,0,0.3143251458392525,0,0,-0.3512947727881123,False,True,False
1,3,1,-1.2089641966254814,1,0,-0.48182124770656776,False,False,False
0,3,1,,0,0,-0.7410257591510147,True,False,False
1,3,1,-0.31728263030466153,0,0,-0.7861825894375963,False,True,False
1,3,0,,1,1,0.34341370143664,False,False,False
0,3,1,1.2431601107567731,0,0,-0.7985574761855384,False,True,False
0,3,1,0.3514785444359533,0,0,-0.7302023729011649,False,False,False
0,3,1,-0.6145098190782682,0,0,-0.7929898906660683,False,True,False
0,3,0,1.3917737051435763,1,0,-0.23994306239871158,False,True,False
1,2,0,0.0542513556623467,1,0,0.613753383920027,False,True,False
0,2,1,-0.2429758331112599,0,0,-0.3512947727881123,False,True,False
0,2,1,-0.3915894274980632,0,0,-0.19942588671168834,False,False,False
1,1,0,-0.6888166162716698,0,2,0.6347840102889052,False,True,False
0,1,1,0.6487057332095599,1,0,2.6255076182885326,False,True,False
0,3,1,-0.9117370078518747,0,0,-0.6321460567322588,False,True,False
0,3,0,,0,2,-0.18457899199310163,False,False,False
1,3,0,-0.46589622469146486,0,0,-0.7410257591510147,False,True,False
1,3,0,-0.31728263030466153,1,0,-0.139726523048251,False,True,False
0,3,1,-0.6888166162716698,0,0,-0.8152602327439484,True,False,False
0,2,1,-0.7631234134650715,0,0,-0.46264648317751295,False,True,False
0,2,1,-0.6888166162716698,1,1,1.4117739750440652,False,True,False
1,3,1,-0.0943622387244566,0,0,-0.7376258202604583,False,True,False
0,3,0,-1.4318845882056863,2,2,1.2354671002608475,False,True,False
0,2,1,0.6115523346128591,0,2,0.613753383920027,False,True,False
0,2,1,1.0202397191765682,0,0,-0.3512947727881123,False,True,False
0,2,1,1.689000893917183,0,0,-0.3865561477447558,False,True,False
0,3,1,2.0233814812874904,0,0,-0.7187554170731345,False,True,False
0,3,1,0.9087795233864657,0,2,-0.23994306239871158,False,True,False
0,3,1,,0,0,-0.7735033413479232,False,True,False
0,1,1,1.689000893917183,0,1,3.2401096720591505,False,False,False
1,3,0,-0.9117370078518747,0,0,-0.7422654748600167,True,False,False
0,3,1,0.12855815285574834,0,0,-0.7187554170731345,False,True,False
0,3,1,,0,0,-0.6732868019974626,False,True,False
0,3,1,1.1688533135633714,0,1,-0.12116790465001742,False,True,False
1,2,0,0.8716261247897649,0,0,-0.14714997040754435,False,True,False
0,3,1,-0.16866903591785826,0,0,-0.7391698973111913,False,True,False
0,3,1,-0.8374302106584731,0,0,-0.6732868019974626,False,True,False
0,3,1,-2.0263389657528994,4,1,1.6298377412233083,False,True,False
1,3,1,-1.4318845882056863,0,2,0.2073196409987144,False,True,False
1,1,0,,0,1,2.766553118115107,False,True,False
0,3,0,1.2431601107567731,1,4,0.7547988837466011,False,True,False
0,1,1,,0,0,0.608185798400557,False,True,False
0,3,1,-0.02005544153105495,0,0,2.8775930437154176,False,True,False
0,1,1,2.4320688658511993,0,0,1.1705119358670304,False,True,False
0,3,1,-1.8034185741726945,4,1,0.8457361138979451,True,False,False
1,3,0,-2.0263389657528994,1,1,-0.48986826464404176,False,True,False
0,3,1,-0.5402030218848665,0,0,-0.7280347262722512,False,True,False
0,1,1,2.0605348798841914,0,0,0.9623436250177254,False,False,False
0,3,1,-0.7631234134650715,1,1,-0.7332905270026311,False,True,False
0,3,1,,3,1,0.5741641391529154,False,True,False
0,1,0,1.6146940967237813,0,0,0.8151143935408598,False,False,False
0,2,1,0.12855815285574834,0,0,-0.3512947727881123,False,True,False
0,3,1,0.5743989360161582,0,0,-1.3163429294962516,False,True,False
0,2,1,,0,0,-0.19911410192259796,False,False,False
0,3,1,-1.4318845882056863,4,2,1.0136916104019578,False,True,False
1,2,1,-2.0263389657528994,2,1,1.5788015406281664,False,True,False
1,3,0,-1.8034185741726945,0,2,0.3186713513881151,False,True,False
0,1,1,,0,0,2.395380750150438,False,True,False
1,3,0,,1,0,-0.1657085888057778,True,False,False
1,1,1,1.2431601107567731,0,0,0.6545823443961406,False,True,False
0,3,1,0.8716261247897649,1,1,-0.1657085888057778,True,False,False
0,3,1,0.5743989360161582,0,0,-0.7302023729011649,False,True,False
1,2,0,0.27717174724255167,0,0,-0.3512947727881123,False,True,False
0,2,1,-0.6888166162716698,0,0,-0.3512947727881123,False,True,False
1,3,0,-0.6888166162716698,1,0,-0.7332905270026311,False,True,False
1,2,1,-1.8777253713660962,1,1,0.613753383920027,False,True,False
1,1,0,1.1688533135633714,0,0,0.7414960660787475,False,False,False
0,3,1,,0,0,-0.7410257591510147,True,False,False
0,3,1,1.0202397191765682,0,1,-0.6924615665265175,False,True,False
1,3,0,,0,0,-0.7410257591510147,True,False,False
0,2,0,-0.31728263030466153,0,0,-0.3512947727881123,False,True,False
0,3,1,-0.02005544153105495,0,0,-0.6111154303633806,False,True,False
0,3,1,0.42578534162935494,0,0,-0.8341306359312723,False,True,False
0,3,1,1.2803135093534739,0,0,-0.7799988577873049,False,False,False
1,3,1,-0.7631234134650715,0,0,-0.7187554170731345,False,True,False
0,3,0,-1.952032168559498,0,1,-0.5396647495301817,False,True,False
0,3,1,0.27717174724255167,1,0,-0.139726523048251,False,True,False
1,3,1,-0.16866903591785826,0,0,0.07833724313099215,False,False,False
1,3,0,-0.9117370078518747,0,0,-0.7410257591510147,True,False,False
1,1,1,0.8716261247897649,0,0,0.984925751884696,False,False,False
0,3,1,-0.31728263030466153,0,0,-0.7929898906660683,False,True,False
1,2,0,0.5000921388227566,0,0,0.24258101595535805,False,True,False
0,3,1,-0.46589622469146486,0,0,-0.7781429959474816,False,True,False
0,2,1,0.12855815285574834,0,0,-0.3512947727881123,False,True,False
0,3,1,,1,0,-0.7410257591510147,True,False,False
1,3,0,-0.0943622387244566,0,0,-0.7280347262722512,False,True,False
0,2,1,1.0202397191765682,1,0,0.6879878575129608,False,True,False
0,2,1,0.12855815285574834,0,0,-0.5368809567704468,False,True,False
1,3,1,-0.9117370078518747,0,0,-0.7187554170731345,False,True,False
0,2,1,-0.0943622387244566,0,0,-0.3512947727881123,False,True,False
0,3,1,1.689000893917183,0,0,-0.7187554170731345,False,True,False
0,3,1,,0,0,-0.7302023729011649,False,True,False
0,3,1,-0.46589622469146486,0,0,-0.6222506014023207,False,True,False
1,2,1,-0.6888166162716698,0,0,-0.5368809567704468,False,True,False
0,3,1,-0.5773564204815673,0,0,-0.7781429959474816,False,True,False
0,2,1,-0.7631234134650715,0,0,-0.3512947727881123,False,True,False
0,3,0,,3,1,0.5741641391529154,False,True,False
0,3,1,0.0542513556623467,0,0,-0.7391698973111913,False,True,False
0,2,1,2.2834552714643963,0,0,-0.3141775359916454,False,True,False
1,3,0,-1.729111776979293,4,2,1.0136916104019578,False,True,False
0,2,1,-0.31728263030466153,0,0,-0.5368809567704468,False,True,False
0,3,0,,0,0,-0.7558726538696013,False,True,False
0,2,1,1.1688533135633714,1,0,0.613753383920027,False,True,False
1,2,0,-1.506191385399088,0,2,0.6323120023182605,False,True,False
0,2,1,-0.6888166162716698,0,0,-0.5368809567704468,False,True,False
0,2,1,0.3514785444359533,0,0,-0.40511476614298925,False,True,False
0,3,0,,1,0,-0.24334300128926795,False,False,False
1,3,0,,1,0,-0.1657085888057778,True,False,False
0,2,1,0.0542513556623467,0,0,-0.5368809567704468,False,True,False
0,3,1,-0.46589622469146486,0,0,-0.7874223051465983,False,True,False
0,3,1,0.12855815285574834,0,0,-0.7799988577873049,False,False,False
0,3,0,-0.2429758331112599,0,0,-0.7391698973111913,False,True,False
1,2,0,-0.31728263030466153,0,2,-0.23994306239871158,False,True,False
1,1,1,0.6487057332095599,1,1,2.584990442601509,False,True,False
0,2,1,1.911921285497388,1,0,0.613753383920027,False,True,False
0,3,1,,0,0,-0.7781429959474816,False,True,False
0,3,0,0.0542513556623467,1,1,-0.5396647495301817,False,True,False
0,1,1,2.5063756630446012,0,0,0.6545823443961406,False,True,False
0,3,1,0.12855815285574834,1,0,-0.12116790465001742,False,True,False
0,3,0,0.9459329219831665,0,2,0.18412136800092258,False,True,False
1,3,0,0.0542513556623467,0,2,-0.18457899199310163,False,False,False
1,2,0,1.6146940967237813,0,1,0.613753383920027,False,True,False
0,3,1,,0,0,-0.7410257591510147,True,False,False
1,3,1,-1.8777253713660962,4,2,1.0136916104019578,False,True,False
0,1,1,0.8716261247897649,0,0,-1.3163429294962516,False,True,False
0,3,0,,0,0,-0.7410257591510147,True,False,False
0,2,1,0.5743989360161582,0,0,-0.5368809567704468,False,True,False
0,3,1,-0.9117370078518747,4,1,1.6298377412233083,False,True,False
1,3,1,-0.2429758331112599,1,0,-0.7391698973111913,False,True,False
0,1,1,,0,0,0.984925751884696,False,True,False
1,3,1,-0.2429758331112599,0,0,-1.3163429294962516,False,True,False
1,2,0,0.9459329219831665,0,1,0.13122930556595735,False,True,False
0,1,1,0.6487057332095599,0,1,0.888420936213882,False,False,False
1,3,0,,0,0,-0.7410257591510147,True,False,False
0,3,0,1.2431601107567731,0,0,-0.7410257591510147,False,True,False
0,2,1,,0,0,-1.3163429294962516,False,True,False
0,3,1,-1.5804981825924895,4,1,0.8457361138979451,True,False,False
1,3,0,0.5000921388227566,1,1,0.18690516076065772,False,True,False
0,3,1,-0.02005544153105495,0,0,-0.7332905270026311,False,True,False
0,3,1,-0.9117370078518747,0,0,-0.6111154303633806,False,True,False
1,3,1,-0.6888166162716698,0,0,-0.7187554170731345,False,True,False
0,1,1,,0,0,0.613753383920027,False,True,False
0,3,1,0.3514785444359533,0,0,-0.6732868019974626,False,False,False
1,3,1,0.12855815285574834,0,0,-0.6111154303633806,False,True,False
0,3,1,-0.46589622469146486,0,0,-0.7302023729011649,False,True,False
1,2,1,1.0202397191765682,0,0,-0.3512947727881123,False,True,False
1,3,0,-0.46589622469146486,0,0,-0.7410257591510147,True,False,False
0,2,1,0.5743989360161582,0,0,-0.360574081987229,False,False,False
0,3,0,-0.31728263030466153,0,0,-0.6593678381987875,False,True,False
0,3,1,-0.31728263030466153,0,0,-0.7302023729011649,False,True,False
0,1,1,,0,0,0.7414960660787475,False,False,False
0,3,1,-0.3544360289013624,0,0,-0.7796870729982147,False,False,False
1,1,1,,0,0,0.947808515088229,False,True,False
1,3,0,,0,0,-0.7410257591510147,True,False,False
1,3,1,,2,0,0.40960858153945906,True,False,False
0,3,1,-0.6888166162716698,0,0,-1.3163429294962516,False,True,False
1,2,0,,0,0,-0.39954718062351924,True,False,False
0,3,1,,0,0,-0.7187554170731345,False,True,False
0,2,1,0.12855815285574834,1,0,0.4652844367341594,False,False,False
1,1,0,0.12855815285574834,0,0,2.9097662645705946,False,False,False
0,2,0,-0.16866903591785826,1,1,0.613753383920027,False,True,False
0,3,1,-0.02005544153105495,0,0,-0.7302023729011649,False,True,False
0,2,1,1.09454651636997,1,1,0.6323120023182605,False,True,False
1,3,0,-0.16866903591785826,0,0,-0.7332905270026311,False,True,False
1,2,0,-0.31728263030466153,1,0,0.613753383920027,False,True,False
0,2,1,1.911921285497388,0,0,-0.2770602991951785,False,True,False
0,3,1,-0.46589622469146486,0,0,-0.7781429959474816,False,True,False
0,3,1,-0.0943622387244566,0,0,-0.7302023729011649,False,True,False
1,2,0,0.12855815285574834,0,0,-0.39954718062351924,True,False,False
1,2,0,-0.46589622469146486,1,1,0.8364568046988283,False,True,False
0,3,1,2.4320688658511993,0,0,-0.853305400460327,False,True,False
1,2,0,0.5743989360161582,0,0,-0.3512947727881123,False,True,False
1,3,0,0.20286495004915,1,1,0.2073196409987144,False,True,False
1,1,0,-0.9117370078518747,0,1,2.987712461843175,False,False,False
1,3,0,,2,0,0.40960858153945906,True,False,False
0,1,1,1.2803135093534739,0,0,0.7993395679023615,False,True,False
0,3,1,-0.9117370078518747,2,0,0.01987759517655668,False,True,False
0,3,1,,0,0,-0.7302023729011649,False,True,False
1,3,1,1.2431601107567731,0,0,-0.7187554170731345,False,True,False
0,1,1,1.2431601107567731,0,0,1.318980883052898,False,True,False
1,2,1,-1.952032168559498,1,1,0.613753383920027,False,True,False
0,2,1,-0.02005544153105495,0,0,-0.3512947727881123,False,True,False
0,2,1,-0.2429758331112599,0,0,-0.3512947727881123,False,True,False
0,2,1,0.5743989360161582,0,0,-0.3512947727881123,False,True,False
1,2,0,-0.31728263030466153,0,0,-0.3512947727881123,False,True,False
1,2,0,0.8716261247897649,0,0,-0.3512947727881123,False,True,False
1,3,0,,1,0,-0.12116790465001742,False,True,False
1,3,1,-1.8777253713660962,1,1,-0.13601479936860425,False,True,False
0,3,1,1.0202397191765682,0,0,-0.6732868019974626,False,True,False
0,3,1,-0.3915894274980632,0,0,-0.6315299106014374,False,True,False
0,1,1,,0,0,1.2818636462564312,False,True,False
0,3,1,-0.9860438050452764,1,1,-0.7796870729982147,False,False,False
0,3,1,-0.2429758331112599,1,0,0.005030700457969974,False,True,False
0,3,1,,0,0,-0.7799988577873049,False,False,False
0,3,1,-0.02005544153105495,0,0,-0.6111154303633806,False,True,False
1,1,0,-0.46589622469146486,0,1,2.766553118115107,False,True,False
0,2,0,0.7230125304029615,0,0,-0.3512947727881123,False,True,False
1,3,0,,0,0,-0.7314346651628075,True,False,False
1,3,0,,0,0,-0.7314346651628075,True,False,False
0,3,1,0.8716261247897649,1,4,0.7547988837466011,False,True,False
0,2,1,0.0542513556623467,1,0,0.7414960660787475,False,False,False
0,3,0,1.2431601107567731,0,1,-0.24334300128926795,False,False,False
0,3,1,0.5000921388227566,0,0,-0.7929898906660683,False,True,False
0,3,1,,1,0,-0.1657085888057778,True,False,False
0,3,1,0.12855815285574834,0,0,-0.7781429959474816,False,True,False
1,3,0,,0,0,-0.7796870729982147,False,False,False
1,3,0,,0,0,-0.7410257591510147,True,False,False
1,1,1,-0.2429758331112599,1,0,2.7993424851011057,False,False,False
0,3,1,-0.7631234134650715,1,0,-0.8341306359312723,False,True,False
0,3,1,-0.6888166162716698,0,0,-0.7187554170731345,False,True,False
0,3,0,-1.8777253713660962,3,1,0.24814860147482803,False,True,False
1,3,0,-0.46589622469146486,0,0,-0.7781429959474816,False,True,False
0,3,1,-0.6145098190782682,0,0,-1.0184771042046048,False,False,False
0,3,1,-0.6888166162716698,0,0,-0.7391698973111913,False,True,False
1,3,0,-2.0263389657528994,0,2,-0.14776611653836572,False,False,False
0,3,1,0.27717174724255167,0,0,-0.7280347262722512,False,True,False
1,1,0,0.5000921388227566,1,0,2.543849697336306,False,True,False
0,3,1,,0,0,-0.7302023729011649,False,True,False
0,3,1,-2.0263389657528994,5,2,2.165253882012343,False,True,False
1,2,0,0.5743989360161582,0,0,-0.3512947727881123,False,True,False
0,3,1,,0,0,-0.7425698362017478,True,False,False
1,2,0,-0.8374302106584731,0,0,-0.42552924638104606,False,False,False
1,3,1,-0.5402030218848665,0,0,-0.7376258202604583,False,True,False
0,3,1,-0.02005544153105495,2,0,-0.7280347262722512,False,True,False
1,3,0,-0.31728263030466153,0,2,-0.0766272204942573,False,True,False
0,3,1,-0.46589622469146486,0,0,-0.7376258202604583,False,True,False
0,3,0,0.20286495004915,0,0,-0.7332905270026311,False,True,False
0,2,1,1.3174669079501748,0,0,0.613753383920027,False,True,False
0,2,1,-0.3915894274980632,0,0,-0.5368809567704468,False,True,False
1,2,0,-0.02005544153105495,0,0,-0.3772768385456391,False,True,False
1,3,1,0.7973193275963633,0,0,-0.7280347262722512,False,True,False
0,3,1,-0.16866903591785826,0,0,-0.7187554170731345,False,True,False
0,3,0,-0.5402030218848665,1,0,-0.5869892264456771,False,True,False
0,3,1,-0.02005544153105495,1,0,-0.139726523048251,False,True,False
0,3,0,-0.6145098190782682,0,0,-0.6732868019974626,False,True,False
0,2,1,0.42578534162935494,1,0,0.24258101595535805,False,True,False
0,3,1,1.689000893917183,0,0,-0.7410257591510147,False,True,False
1,2,1,-1.8777253713660962,1,1,0.07555345037125702,False,True,False
0,3,1,-0.5402030218848665,0,0,-0.7391698973111913,False,True,False
0,3,0,,3,1,0.5741641391529154,False,True,False
0,3,1,,0,0,-0.7302023729011649,False,True,False
0,3,1,,0,0,-0.8072206392538338,True,False,False
0,2,1,,0,0,-1.3163429294962516,False,True,False
1,3,1,1.1688533135633714,0,0,-0.7280347262722512,False,True,False
0,3,0,,0,0,-0.7187554170731345,False,True,False
1,2,0,0.42578534162935494,1,1,1.0962774622740967,False,True,False
1,2,0,-0.7631234134650715,0,2,-0.3512947727881123,False,True,False
0,2,1,0.12855815285574834,0,0,-0.3512947727881123,False,True,False
0,3,0,-1.3575777910122846,0,2,0.4764196077730994,False,True,False
0,3,1,,0,0,-0.7302023729011649,False,False,False
0,3,1,-0.5402030218848665,0,0,-0.7422654748600167,True,False,False
0,3,1,0.0542513556623467,0,0,-0.731746449951898,False,True,False
0,3,0,-0.02005544153105495,1,1,-0.24736650975800495,False,True,False
0,3,1,-0.7631234134650715,1,1,0.18412136800092258,False,True,False
0,3,1,,0,0,-0.7781429959474816,False,True,False
1,2,0,-0.02005544153105495,1,0,0.613753383920027,False,True,False
1,2,0,-0.6888166162716698,0,0,0.613753383920027,False,True,False
0,3,1,,0,0,-0.7410257591510147,True,False,False
1,3,1,0.27717174724255167,0,0,-0.7187554170731345,False,True,False
1,1,1,-0.02005544153105495,0,0,0.6545823443961406,False,True,False
1,3,0,,1,0,-0.12116790465001742,False,True,False
1,2,0,1.0202397191765682,1,0,0.613753383920027,False,True,False
0,3,1,-0.8374302106584731,0,0,-0.7874223051465983,False,True,False
0,1,1,1.6146940967237813,1,0,2.833364144348747,False,True,False
0,3,0,-0.5402030218848665,2,2,1.2354671002608475,False,True,False
1,2,0,-0.31728263030466153,2,3,0.07555345037125702,False,True,False
0,2,1,0.20286495004915,0,0,-0.5368809567704468,False,True,False
1,2,0,1.2431601107567731,1,1,0.6323120023182605,False,True,False
0,3,1,-0.6145098190782682,0,0,-0.6111154303633806,False,True,False
0,3,1,-0.2429758331112599,1,0,-0.7391698973111913,False,True,False
1,2,0,-0.02005544153105495,0,0,-0.3512947727881123,False,True,False
1,3,1,,0,0,-0.7141157624735761,False,True,False
1,2,0,-1.1346573994320797,0,1,0.13122930556595735,False,True,False
